iter	MultiClass
0	1.215892794
1	1.093390233
2	0.997682301
3	0.9216820794
4	0.8630524391
5	0.8123855544
6	0.7700674293
7	0.7344670128
8	0.702893406
9	0.6761004933
10	0.6529343466
11	0.6326762956
12	0.6156579973
13	0.6001160198
14	0.5862193246
15	0.575352766
16	0.5646008569
17	0.5556503014
18	0.5477044929
19	0.5400132364
20	0.5323149864
21	0.5257045576
22	0.5199626842
23	0.5149589154
24	0.5104359861
25	0.506631194
26	0.5026403858
27	0.4992107644
28	0.4961538658
29	0.4932319664
30	0.4912366157
31	0.4886424489
32	0.4865293632
33	0.484325504
34	0.4824569907
35	0.480970976
36	0.479118686
37	0.4773689582
38	0.4758733239
39	0.4746647292
40	0.4736101233
41	0.4726794783
42	0.4716070899
43	0.470642215
44	0.4695446446
45	0.4682534074
46	0.4672179436
47	0.4664873625
48	0.4656736419
49	0.4649829198
50	0.4642321821
51	0.4635562935
52	0.4629280938
53	0.462214781
54	0.46102373
55	0.4604203113
56	0.4599331016
57	0.458870482
58	0.4583087009
59	0.4577668517
60	0.4570924113
61	0.4564883187
62	0.4556319092
63	0.4549204194
64	0.4540593402
65	0.4533925051
66	0.4527721677
67	0.4523289946
68	0.4515030181
69	0.4509384183
70	0.4504956387
71	0.4499417411
72	0.4491987305
73	0.4488894043
74	0.4479144365
75	0.4475289638
76	0.4468548832
77	0.4464786471
78	0.4459241002
79	0.4453924416
80	0.4448786734
81	0.4446048532
82	0.4441339582
83	0.4438484847
84	0.4433615652
85	0.4430294969
86	0.4424647098
87	0.4420352582
88	0.4411813194
89	0.4409156283
90	0.44053122
91	0.4401866387
92	0.4393459139
93	0.4390295851
94	0.4386071216
95	0.4380053399
96	0.4375548091
97	0.4371124545
98	0.4365678601
99	0.436144224
